	log2FoldChange	padj	significance
CGGC5_9300	4.9456154951378	1.63539951514578e-15	UP
CGGC5_253	3.63084826577968	2.05324220522737e-15	UP
CGGC5_11081	4.68244876571276	2.59840250735274e-15	UP
CGGC5_5765	7.18384662518581	3.01832081435755e-15	UP
CGGC5_15030	4.99275749477469	3.01832081435755e-15	UP
CGGC5_5350	5.31716448735693	3.66809489175778e-15	UP
CGGC5_7504	6.96777573466069	3.86462147907288e-15	UP
CGGC5_2330	5.42517897806578	3.93721768736732e-15	UP
CGGC5_9025	11.105632765989	4.88819429226079e-15	UP
CGGC5_12893	6.72727370176653	6.90057602836618e-15	UP
CGGC5_3871	4.76084111393643	7.11144240690761e-15	UP
CGGC5_9366	6.38248828231121	7.11144240690761e-15	UP
CGGC5_8584	6.51090310357465	7.36070495245011e-15	UP
CGGC5_6273	3.7797048972716	8.39035121633716e-15	UP
CGGC5_14942	12.7647922811376	9.50741572212078e-15	UP
CGGC5_3794	5.16747605015922	9.89585016483915e-15	UP
CGGC5_8618	8.66416130292163	1.04194290074445e-14	UP
CGGC5_4360	13.7937263711964	1.0704680104304e-14	UP
CGGC5_898	9.18478642779272	1.30972925306498e-14	UP
CGGC5_2680	4.93049340106846	1.7514422322864e-14	UP
CGGC5_742	13.2289282047413	2.93215983968486e-14	UP
CGGC5_11687	6.11348196315293	3.36367169427479e-14	UP
CGGC5_13629	9.68182891198527	5.42601632029859e-14	UP
CGGC5_12823	9.41649597715708	7.66838890556204e-14	UP
CGGC5_4501	11.9086125692904	8.93176091845455e-14	UP
CGGC5_12368	-4.77666852988862	9.34309785549739e-14	DOWN
CGGC5_14214	11.5078903019988	1.37753672383495e-13	UP
CGGC5_7512	13.2636153512193	1.46633330999459e-13	UP
CGGC5_13625	5.14561818338555	1.96944270966215e-13	UP
CGGC5_4641	8.10643205161624	1.96944270966215e-13	UP
CGGC5_4351	10.5203879611634	2.05554458825945e-13	UP
CGGC5_2300	2.81276731578181	2.92705216800431e-13	UP
CGGC5_6005	6.44526635397529	3.75873569371819e-13	UP
CGGC5_13437	5.87496087016023	4.12253308840176e-13	UP
CGGC5_9562	3.18547976778538	5.20343665269892e-13	UP
CGGC5_11588	7.13408712355865	6.83569454880036e-13	UP
CGGC5_15453	3.3776784733351	7.31020318780282e-13	UP
CGGC5_8476	10.2349297917434	7.41170561311989e-13	UP
CGGC5_2530	9.97949480102913	7.44765122790213e-13	UP
CGGC5_14944	11.0171097704922	7.59067020165283e-13	UP
CGGC5_14398	7.89620149660043	7.91326325151981e-13	UP
CGGC5_11127	12.0789188883881	8.72872509250549e-13	UP
CGGC5_13283	6.17904190621129	9.24163423550674e-13	UP
CGGC5_4162	9.59759676277066	1.10263129891694e-12	UP
CGGC5_1173	3.68048231401984	1.11646605218716e-12	UP
CGGC5_463	4.53287798400639	1.13721188447828e-12	UP
CGGC5_10167	-5.76174448907246	1.16086989705668e-12	DOWN
CGGC5_11294	7.59998379537599	1.18015777865083e-12	UP
CGGC5_6176	4.81338176451114	1.207407446019e-12	UP
CGGC5_14220	4.92335083000719	1.35830156226058e-12	UP
CGGC5_88	12.5889343937103	1.39499267692802e-12	UP
CGGC5_13726	-3.84927450627433	1.48378738967122e-12	DOWN
CGGC5_4729	7.49426113533833	1.53881688598526e-12	UP
CGGC5_14401	5.14873934246568	1.62053296591132e-12	UP
CGGC5_8962	7.74944883254572	1.82192024336669e-12	UP
CGGC5_7506	13.0701141474535	1.84227358919967e-12	UP
CGGC5_2619	-3.14661404752174	1.91561280184803e-12	DOWN
CGGC5_11745	2.06326975415173	2.14550719045680e-12	UP
CGGC5_14939	10.3407795175921	2.29110384121785e-12	UP
CGGC5_975	4.27947071264969	2.59042285401663e-12	UP
CGGC5_8232	5.57130948415094	3.13389488565443e-12	UP
CGGC5_3431	10.1112476298851	4.95069085109241e-12	UP
CGGC5_4033	7.49397307101266	5.17621023687612e-12	UP
CGGC5_4081	7.81151097843048	5.2692183750767e-12	UP
CGGC5_10406	11.6886617528142	5.76223342659888e-12	UP
CGGC5_13644	5.4313773012222	5.89792862061953e-12	UP
CGGC5_8216	4.49154563417207	5.89792862061953e-12	UP
CGGC5_12525	5.23942234580069	6.1136826293691e-12	UP
CGGC5_3765	6.38527660683714	7.04773897449076e-12	UP
CGGC5_4422	11.1025925381301	7.86165027299974e-12	UP
CGGC5_2654	6.49337162781677	9.5422035650479e-12	UP
CGGC5_12867	7.48256925708035	1.08217589504276e-11	UP
CGGC5_4172	4.82009719133463	1.16946566943376e-11	UP
CGGC5_11652	7.20979211213691	1.26289249074739e-11	UP
CGGC5_12578	8.33955002608658	1.31970867726771e-11	UP
CGGC5_14364	12.9678220950737	1.35049483951589e-11	UP
